Coin,Ticker,Price,1h,24h,7d,24h Volume,Mkt Cap,Fully Diluted Valuation
LEO Token,LEO,3.52,-0.2%,-0.9%,1.6%,688872.0,3279161891.0,0.0
Monero,XMR,174.73,0.2%,-4.0%,-2.6%,96926713.0,3171561366.0,0.0
Ethereum Classic,ETC,21.44,0.3%,-1.9%,-6.0%,186223253.0,2984708678.0,4517506511.0
Aptos,APT,16.56,1.1%,-6.5%,28.5%,518215877.0,2670741260.0,16861311620.0
Bitcoin Cash,BCH,132.76,-0.1%,0.6%,-0.6%,205765938.0,2562251630.0,2788087566.0
Stellar,XLM,0.089973,-0.1%,-1.5%,-5.0%,65134489.0,2363510961.0,4498128970.0
ApeCoin,APE,5.79,0.0%,-3.3%,2.8%,169761478.0,2132548851.0,5785634865.0
Quant,QNT,142.87,0.7%,-1.4%,-0.7%,35466987.0,2077412934.0,2087168853.0
Cronos,CRO,0.077941,0.2%,-1.5%,-3.3%,17120884.0,1968731842.0,0.0
NEAR Protocol,NEAR,2.3,0.1%,-3.6%,-9.8%,175922139.0,1961603984.0,2302744510.0
Filecoin,FIL,5.04,-0.1%,-1.8%,-7.3%,142722389.0,1891138833.0,9905174602.0
Lido DAO,LDO,2.08,0.2%,-1.6%,-18.2%,112794863.0,1740596349.0,2077673014.0
Algorand,ALGO,0.237184,-0.1%,-3.5%,-5.4%,76268373.0,1707289852.0,2371429389.0
VeChain,VET,0.02308021,0.0%,-1.1%,0.6%,74215365.0,1673517907.0,2001280544.0
Hedera,HBAR,0.064481,0.1%,-1.8%,-6.1%,39173770.0,1632421908.0,3223341704.0
Internet Computer,ICP,5.7,0.2%,-2.7%,-1.9%,48846900.0,1623409714.0,2676322383.0
Decentraland,MANA,0.738502,1.0%,-2.4%,1.5%,254106912.0,1342979045.0,1617981374.0
Axie Infinity,AXS,10.66,0.6%,-5.2%,-13.4%,133621292.0,1227161219.0,2877702875.0
Fantom,FTM,0.47765,-0.8%,3.3%,18.3%,481823453.0,1213288302.0,1515922405.0
Aave,AAVE,81.07,0.2%,-1.6%,-6.6%,84523612.0,1154990868.0,1297139008.0
EOS,EOS,1.05,0.5%,-1.7%,-4.1%,119094893.0,1149855615.0,0.0
The Sandbox,SAND,0.722164,0.4%,-3.5%,-9.1%,185724586.0,1145989346.0,2165605468.0
MultiversX,EGLD,42.71,-0.2%,-1.4%,-3.1%,22975991.0,1064189988.0,1341112373.0
Flow,FLOW,0.994929,0.3%,-2.6%,-16.3%,50264359.0,1030882133.0,1402825739.0
Frax,FRAX,1.0,0.2%,0.1%,0.1%,11079102.0,1024088791.0,1024088791.0
Theta Network,THETA,1.01,0.0%,-3.2%,-5.3%,27471397.0,1013326735.0,1013326735.0
Terra Luna Classic,LUNC,0.00016918,1.8%,0.1%,-5.7%,81362548.0,1008945741.0,1161700129.0
Tezos,XTZ,1.07,0.2%,-2.2%,-4.7%,33167227.0,978108864.0,0.0
Pax Dollar,USDP,0.992948,0.1%,-0.8%,-0.5%,2692800.0,960822484.0,960822484.0
TrueUSD,TUSD,0.999602,0.0%,-0.1%,-0.3%,54626030.0,944560611.0,0.0
Huobi,HT,5.11,-0.3%,0.2%,0.8%,9151122.0,829274171.0,1042006520.0
Bitcoin SV,BSV,42.47,0.1%,-1.8%,-5.5%,22340787.0,818288428.0,891933387.0
KuCoin,KCS,8.2,0.1%,-0.1%,2.1%,1149498.0,799044616.0,0.0
The Graph,GRT,0.088042,-0.1%,-1.2%,-2.5%,44818463.0,778121451.0,880415125.0
Frax Share,FXS,10.27,0.6%,0.5%,-1.3%,14104213.0,752844192.0,1025013411.0
Curve DAO,CRV,1.0,-0.2%,-2.8%,-6.0%,70114681.0,729014835.0,3316557156.0
Rocket Pool,RPL,37.76,-1.1%,-0.3%,1.6%,6913779.0,722210319.0,722210319.0
USDD,USDD,0.99137,-0.0%,-0.1%,0.4%,27601770.0,719352207.0,0.0
Synthetix Network,SNX,2.28,0.4%,-0.8%,-11.4%,29366498.0,713299274.0,714952606.0
Chiliz,CHZ,0.132054,0.2%,-2.9%,-6.4%,133164966.0,705382451.0,1173276658.0
eCash,XEC,3.597e-05,-0.2%,0.2%,8.7%,26744012.0,694039881.0,755360607.0
Trust Wallet,TWT,1.65,-1.0%,2.4%,7.9%,118424422.0,687488420.0,0.0
BitTorrent,BTT,7.16826e-07,-0.0%,-1.5%,-3.5%,17964996.0,682112131.0,709770441.0
Dash,DASH,59.97,-0.1%,0.2%,15.1%,204369873.0,667141588.0,0.0
PancakeSwap,CAKE,4.01,0.3%,0.6%,2.1%,38613788.0,662660512.0,3004849108.0
Gate,GT,4.41,0.5%,1.7%,6.3%,470130.0,641460249.0,0.0
Mina Protocol,MINA,0.778315,1.0%,-9.6%,31.8%,182911510.0,641093835.0,777481824.0
Klaytn,KLAY,0.201041,0.2%,-2.1%,-3.8%,29727929.0,621071205.0,0.0
IOTA,MIOTA,0.222372,0.2%,-2.7%,-3.7%,14560787.0,618017294.0,0.0
cUSDC,CUSDC,0.02276837,0.0%,0.1%,0.2%,5.7,606024838.0,0.0
Zcash,ZEC,45.36,0.3%,1.1%,-3.7%,59076247.0,587329551.0,952352329.0
BitDAO,BIT,0.502481,1.0%,-9.1%,-11.1%,47536936.0,585698821.0,4829083545.0
Maker,MKR,640.5,0.2%,-0.7%,-9.4%,18028523.0,577232377.0,644008157.0
Gemini Dollar,GUSD,1.0,0.1%,0.1%,0.2%,506899.0,572830293.0,572830293.0
NEO,NEO,8.1,0.2%,-0.5%,-0.1%,35334845.0,570922507.0,0.0
cDAI,CDAI,0.02214505,0.0%,-0.2%,-0.1%,2248.0,559036063.0,564034010.0
ImmutableX,IMX,0.700034,-0.2%,1.8%,-2.2%,38660747.0,554240909.0,1396511452.0
OKC,OKT,30.04,0.2%,-2.6%,-2.3%,4921245.0,536073757.0,1252216834.0
THORChain,RUNE,1.76,0.1%,-2.5%,1.3%,79414973.0,529286062.0,880088251.0
Tokenize Xchange,TKX,6.6,0.1%,0.3%,-5.2%,7271321.0,528282850.0,660386582.0
Radix,XRD,0.052025,-0.4%,-6.6%,21.8%,844696.0,525277483.0,1249189313.0
Arweave,AR,10.11,0.2%,-2.8%,2.8%,30492507.0,506272479.0,666832619.0
PAX Gold,PAXG,1880.83,-0.4%,-1.4%,-2.0%,9674144.0,505449799.0,0.0
Osmosis,OSMO,0.959712,0.2%,-2.2%,0.2%,19420109.0,502239886.0,959802955.0
BTSE Token,BTSE,2.98,6.3%,-3.8%,13.1%,889222.0,482302422.0,595209127.0
GMX,GMX,56.89,0.3%,-2.3%,3.6%,35336121.0,479455840.0,753682052.0
Flare,FLR,0.04293851,0.1%,-8.0%,9.1%,28363444.0,471609355.0,4319251828.0
Tether Gold,XAUT,1892.92,0.0%,-1.3%,-0.5%,1674489.0,465923568.0,465923568.0
NEXO,NEXO,0.825059,0.5%,0.5%,-0.0%,8469979.0,461939638.0,824892196.0
cETH,CETH,31.6,0.1%,-0.7%,-3.4%,824.0,456165578.0,456165578.0
Optimism,OP,2.1,0.2%,-3.4%,-4.0%,216095348.0,450176921.0,9003538419.0
Convex Finance,CVX,5.88,0.4%,-3.6%,10.3%,10678062.0,435545555.0,587687509.0
Enjin Coin,ENJ,0.432512,0.4%,-1.2%,-0.1%,41897984.0,432308549.0,432308549.0
Zilliqa,ZIL,0.02661332,0.2%,-3.1%,-6.8%,47870478.0,427698803.0,558652841.0
Terra,LUNA,2.02,1.4%,-1.7%,-10.1%,63408828.0,418750305.0,2137331019.0
Render,RNDR,1.37,-0.1%,13.7%,56.7%,111264684.0,408762937.0,723793505.0
